magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
6.5,6.0,6.0,654.0,0.0,1.64,21.0,36.0,-10.3506,161.335,2017.0,1.0,1
7.3,,3.0,849.0,0.0,3.813,18.0,627.17,,,,1.0,1
6.9,6.0,4.0,,0.0,2.495,13.0,12.0,-19.3733,176.052,2017.0,1.0,1
7.6,9.0,8.0,1152.0,0.0,0.355,29.0,38.0,-43.4064,-73.9413,2016.0,12.0,1
6.7,5.0,5.0,726.0,0.0,3.38,17.0,152.0,-7.5082,127.921,2016.0,12.0,0
,9.0,7.0,972.0,0.0,1.389,13.0,94.54,-4.5049,153.522,2016.0,12.0,1
6.9,8.0,6.0,737.0,0.0,1.747,26.0,19.73,-10.749,161.132,2016.0,12.0,1
6.5,0.0,5.0,650.0,,1.937,18.0,12.26,-10.8416,161.314,2016.0,12.0,0
7.8,9.0,8.0,961.0,0.0,1.836,13.0,40.0,-10.6812,161.327,2016.0,12.0,1
6.6,5.0,4.0,1120.0,0.0,1.405,,8.45,40.4535,,2016.0,12.0,1
6.5,9.0,8.0,731.0,0.0,0.778,27.0,13.0,5.2834,96.1678,2016.0,12.0,0
6.6,8.0,7.0,693.0,0.0,1.697,20.0,17.0,39.2732,73.9776,2016.0,11.0,0
6.9,5.0,4.0,855.0,0.0,1.796,20.0,10.0,,-88.8968,2016.0,11.0,1
6.9,9.0,6.0,1144.0,0.0,0.671,10.0,9.0,37.3931,141.387,2016.0,11.0,1
6.5,7.0,7.0,664.0,0.0,0.283,56.0,9.0,,173.254,,11.0,1
6.5,6.0,7.0,656.0,0.0,0.135,58.0,10.0,-42.3205,173.669,2016.0,11.0,1
7.8,9.0,9.0,1545.0,0.0,0.481,21.0,15.11,-42.7373,173.054,2016.0,11.0,1
6.6,9.0,8.0,2840.0,0.0,0.174,25.0,8.0,42.8621,13.0961,2016.0,10.0,0
6.6,3.0,3.0,677.0,0.0,2.022,16.0,614.0,,108.163,2016.0,10.0,0
6.8,3.0,6.0,716.0,0.0,3.727,11.0,42.0,-6.0033,148.887,2016.0,10.0,1
6.9,2.0,,733.0,0.0,4.051,9.0,596.4,-19.7819,-178.244,,9.0,1
7.0,5.0,6.0,897.0,0.0,,21.0,19.0,-37.3586,179.146,2016.0,9.0,1
6.8,4.0,3.0,,0.0,0.803,12.0,476.0,-3.6849,152.792,2016.0,8.0,1
6.8,6.0,6.0,981.0,0.0,1.802,17.0,82.0,20.9228,94.569,2016.0,8.0,0
7.2,6.0,5.0,799.0,0.0,4.823,14.0,16.37,-22.4765,,2016.0,8.0,1
7.7,5.0,,971.0,0.0,3.294,14.0,,18.5429,,2016.0,7.0,1
6.6,4.0,6.0,671.0,,2.435,16.0,50.0,-2.0967,100.665,2016.0,6.0,0
7.2,1.0,6.0,798.0,0.0,5.803,24.0,78.0,-56.2409,-26.9353,2016.0,5.0,1
6.9,3.0,3.0,733.0,0.0,5.485,19.0,405.69,-21.9724,-178.204,2016.0,,1
6.9,8.0,7.0,780.0,0.0,1.192,17.0,29.95,0.4947,-79.616,2016.0,5.0,1
6.7,5.0,7.0,744.0,0.0,1.352,21.0,16.0,0.4261,-79.7899,2016.0,5.0,1
7.0,7.0,7.0,755.0,0.0,0.616,14.0,24.0,-16.0429,,2016.0,4.0,1
7.8,9.0,9.0,1163.0,0.0,1.44,15.0,20.59,0.3819,-79.9218,2016.0,4.0,1
7.0,9.0,9.0,,0.0,0.349,32.0,10.0,32.7906,130.754,2016.0,4.0,1
6.9,6.0,6.0,903.0,0.0,3.001,14.0,136.0,23.0944,94.8654,2016.0,,0
,6.0,4.0,738.0,0.0,0.789,17.0,212.0,36.4725,71.1311,2016.0,4.0,0
6.7,7.0,5.0,692.0,0.0,6.787,25.0,27.59,-13.9805,166.594,2016.0,4.0,1
